customer_id,first_name,last_name,email,phone_no
1,Rahul,Sharma,rahul.sharma@gmail.com,9876543210
2,Anita,Menon,anita.menon@gmail.com,9123456789
3,Vikram,Iyer,vikram.iyer@gmail.com,9988776655
4,Sneha,Rao,sneha.rao@gmail.com,9090909090
5,Arjun,Nair,arjun.nair@gmail.com,9554433221
6,Priya,Kumar,priya.kumar@gmail.com,9887766554
7,Rohan,Gupta,rohan.gupta@gmail.com,9012345678
8,Meera,Pillai,meera.pillai@gmail.com,9345678901
9,Karthik,Varma,karthik.varma@gmail.com,9678543210
10,Neha,Aggarwal,neha.aggarwal@gmail.com,9822334455
